,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-07 00:00:00,2005-11-01 00:00:00,2000-01-07 00:00:00,2009-03-24 00:00:00,2000-01-07 00:00:00,2012-04-19 00:00:00,2000-01-07 00:00:00,2015-06-12 00:00:00,2000-01-07 00:00:00,2018-08-17 00:00:00,2000-01-07 00:00:00,2021-08-16 00:00:00
End,2005-10-31 00:00:00,2009-03-19 00:00:00,2009-03-19 00:00:00,2012-04-18 00:00:00,2012-04-18 00:00:00,2015-06-11 00:00:00,2015-06-11 00:00:00,2018-08-16 00:00:00,2018-08-16 00:00:00,2021-08-13 00:00:00,2021-08-13 00:00:00,2024-10-10 00:00:00
Period,1462 days 00:00:00,850 days 00:00:00,2312 days 00:00:00,775 days 00:00:00,3089 days 00:00:00,791 days 00:00:00,3880 days 00:00:00,802 days 00:00:00,4682 days 00:00:00,753 days 00:00:00,5435 days 00:00:00,794 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,454.2909268479988,182.43357212193837,836.4128870600928,205.34839109970008,1767.814198496167,136.86957504735716,2419.5997811085467,145.70703945114536,4488.27965665906,230.61286492757827,12007.123839455253,234.52543046607235
Total Return [%],354.2909268479988,82.43357212193837,736.4128870600928,105.3483910997001,1667.814198496167,36.86957504735716,2319.5997811085467,45.70703945114538,4388.27965665906,130.61286492757827,11907.123839455253,134.52543046607235
Benchmark Return [%],8.82380060513681,-9.917228259532862,-3.2641840552485424,55.83587347683376,53.22300595010172,32.107349220335294,101.87304715336558,17.98616939321831,136.56261002894263,85.85241626365291,339.6573267151531,25.841747933420088
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],50.86934582409991,41.31794338358355,50.86934582409991,37.55590157041092,50.86934582409991,30.31885837568605,50.86934582409991,24.328687125387884,50.86934582409991,14.873374644064313,50.86934582409991,9.801020766123623
Max Drawdown Duration,97 days 00:00:00,82 days 00:00:00,97 days 00:00:00,43 days 00:00:00,97 days 00:00:00,47 days 00:00:00,97 days 00:00:00,84 days 00:00:00,97 days 00:00:00,91 days 00:00:00,97 days 00:00:00,70 days 00:00:00
Total Trades,93,61,155,52,210,58,268,61,330,74,404,69
Total Closed Trades,93,61,155,52,210,57,267,60,329,73,403,69
Total Open Trades,0,0,0,0,0,1,1,1,1,1,1,0
Open Trade PnL,0.0,0.0,0.0,0.0,0.0,-40.26860960883525,-711.874198201981,-20.23270087379518,-623.2370108759969,-14.844553581272805,-772.898742000998,0.0
Win Rate [%],72.04301075268818,77.04918032786885,74.19354838709677,80.76923076923077,75.23809523809524,68.42105263157895,73.78277153558052,68.33333333333333,72.3404255319149,78.08219178082192,73.44913151364764,75.36231884057972
Best Trade [%],13.580033729540977,5.582165335596659,13.580033729540977,5.247206686349802,13.580033729540977,9.524506865623351,13.580033729540977,5.866886228380256,13.580033729540977,9.222869202147338,13.580033729540977,7.86457219036084
Worst Trade [%],-3.711558854718973,-2.626883379251557,-3.711558854718973,-1.6971056330816037,-3.711558854718973,-1.8955148001319662,-3.711558854718973,-2.4670629444236534,-3.711558854718973,-2.0278102904619386,-3.711558854718973,-1.6238221283615104
Avg Winning Trade [%],2.6792335904417452,1.538324253765611,2.197660615283561,1.9101454422001451,2.133993580281398,1.7412901755999262,2.0562502666642533,1.5161770988532701,1.9632124520413525,1.7912332685540815,1.9297477375292182,1.9230131754155697
Avg Losing Trade [%],-0.9179478140289435,-0.8003638602353609,-0.875738189590222,-0.7821980600432735,-0.8486457791411847,-0.5258169674632319,-0.7631910936970205,-0.5940626955109749,-0.7298701433671339,-0.6580578549350491,-0.7188220989929667,-0.7674624897096073
