Date,entry_signal,exit_signal,max_combs,max_probs
2003-05-06,False,True,,
2003-05-07,False,True,,
2003-05-08,False,True,,
2003-05-09,False,True,,
2003-05-12,True,False,"(1, 1, 2, 2)",0.785027124588743
2003-05-13,True,False,"(2, 1, 2, 2)",0.545916184021655
2003-05-14,True,False,"(2, 1, 2, 2)",0.6066278740422522
2003-05-15,True,False,"(1, 1, 2, 2)",0.5813783565100104
2003-05-16,True,False,"(1, 1, 2, 2)",0.6706673377634937
2003-05-19,True,False,,
2003-05-20,False,True,,
2003-05-21,True,False,"(3, 1, 2, 2)",0.8285576797629514
2003-05-22,True,False,"(1, 1, 2, 2)",0.8710929602378001
2003-05-23,True,False,"(1, 1, 2, 2)",0.8797567740083332
2003-05-27,True,False,"(1, 1, 2, 2)",0.8820072017209961
2003-05-28,True,False,"(1, 1, 2, 2)",0.8844685105109108
2003-05-29,True,False,"(3, 1, 2, 2)",0.8202706599033815
2003-05-30,True,False,"(2, 1, 2, 2)",0.7804329468939515
2003-06-02,True,False,"(4, 3, 2, 2)",0.8068567034953886
2003-06-03,True,False,"(4, 3, 2, 2)",0.6728868469728037
2003-06-04,True,False,"(5, 3, 2, 2)",0.21667262815241553
2003-06-05,True,False,"(1, 1, 2, 2)",0.20255887359247063
2003-06-06,True,False,"(4, 3, 2, 2)",0.4207756120361295
2003-06-09,False,True,"(4, 1, 2, 2)",0.6641502800707753
2003-06-10,True,False,"(3, 1, 2, 2)",0.6340565829456073
2003-06-11,False,True,"(1, 1, 2, 4)",0.1815430103295873
2003-06-12,False,True,"(1, 1, 2, 4)",0.2024994689594058
2003-06-13,False,True,"(3, 2, 2, 2)",0.21306213711267177
2003-06-16,False,True,"(2, 1, 2, 4)",0.1574918555116102
2003-06-17,False,True,"(1, 1, 2, 2)",0.16244593636435423
2003-06-18,False,True,"(4, 3, 2, 2)",0.13602346295288428
2003-06-19,False,True,"(5, 3, 2, 2)",0.17387622814410353
2003-06-20,False,True,"(5, 2, 2, 2)",0.18711149886510095
2003-06-23,False,True,,
2003-06-24,False,True,,
2003-06-25,False,True,,
2003-06-26,False,True,,
2003-06-27,True,False,"(2, 1, 2, 2)",0.6543032661880276
2003-06-30,False,True,"(2, 1, 2, 2)",0.6456091210593441
2003-07-01,True,False,"(1, 1, 2, 2)",0.6190152151173742
2003-07-02,True,False,"(1, 1, 2, 2)",0.37698079423603115
2003-07-03,True,False,"(2, 2, 2, 2)",0.2002455713480722
2003-07-07,True,False,"(2, 1, 2, 2)",0.17745662811161875
2003-07-08,True,False,"(3, 2, 2, 2)",0.16053293371950753
2003-07-09,True,False,"(4, 3, 2, 2)",0.18167383886940913
2003-07-10,True,False,"(4, 3, 2, 2)",0.19753179864880058
2003-07-11,False,True,"(4, 3, 2, 2)",0.13236553591995498
2003-07-14,False,True,"(5, 3, 2, 2)",0.1106619948240677
2003-07-15,False,True,"(5, 3, 2, 2)",0.13499236691299127
2003-07-16,False,True,,
2003-07-17,False,True,,
2003-07-18,False,True,"(4, 1, 2, 2)",0.36046942788320013
2003-07-21,True,False,"(5, 1, 2, 2)",0.622382140926302
2003-07-22,False,True,,
2003-07-23,False,True,,
2003-07-24,False,True,,
2003-07-25,False,True,"(1, 1, 2, 2)",0.10662236810508566
2003-07-28,False,True,"(1, 1, 2, 2)",0.10552934897880509
2003-07-29,False,True,"(3, 2, 2, 2)",0.13567979348552556
2003-07-30,False,True,"(4, 2, 2, 2)",0.1536353489158781
2003-07-31,False,True,"(3, 1, 2, 2)",0.15404971695682634
2003-08-01,False,True,,
2003-08-04,False,True,,
2003-08-05,False,True,,
2003-08-06,False,True,,
2003-08-07,True,False,"(1, 1, 2, 2)",0.7280445588395881
2003-08-08,True,False,"(1, 1, 2, 2)",0.696355374144912
2003-08-11,True,False,"(1, 1, 2, 2)",0.829002464150182
2003-08-12,True,False,"(1, 1, 2, 2)",0.6923410391410881
2003-08-13,True,False,"(2, 1, 2, 2)",0.7750244204526419
2003-08-14,True,False,"(3, 2, 2, 2)",0.7574326045778423
2003-08-15,True,False,"(1, 1, 2, 2)",0.8702523608400966
2003-08-18,True,False,"(4, 3, 2, 2)",0.7851289376530297
2003-08-19,True,False,"(3, 3, 2, 2)",0.6515656282260354
2003-08-20,True,False,"(3, 3, 2, 2)",0.7757415916021443
2003-08-21,True,False,"(5, 5, 2, 2)",0.6041908705932694
2003-08-22,True,False,"(4, 1, 2, 2)",0.6572703228786292
2003-08-25,False,True,"(5, 1, 2, 2)",0.63696117157862
2003-08-26,True,False,"(3, 1, 2, 2)",0.577394553151797
2003-08-27,True,False,"(1, 1, 2, 2)",0.6013725220660687
2003-08-28,True,False,"(2, 2, 2, 2)",0.48652651548247006
2003-08-29,True,False,"(1, 1, 2, 2)",0.630690542415255
2003-09-02,True,False,"(3, 3, 2, 2)",0.28355949476334025
2003-09-03,True,False,"(3, 3, 2, 2)",0.24901658664682352
2003-09-04,True,False,"(3, 3, 2, 2)",0.2860210739523921
2003-09-05,True,False,"(4, 3, 2, 2)",0.2308760695421089
2003-09-08,True,False,"(4, 3, 2, 2)",0.23603394230913935
2003-09-09,True,False,,
2003-09-10,False,True,,
2003-09-11,False,True,"(3, 1, 2, 2)",0.3356864998108797
2003-09-12,False,True,"(1, 1, 2, 2)",0.20958232610745045
2003-09-15,False,True,"(5, 1, 2, 2)",0.20333515672763017
2003-09-16,False,True,"(2, 1, 2, 2)",0.17415300151237278
2003-09-17,False,True,"(2, 1, 2, 2)",0.1287880257189088
2003-09-18,False,True,"(2, 1, 2, 2)",0.14437275238418856
2003-09-19,False,True,"(3, 2, 2, 2)",0.11468143733425112
2003-09-22,False,True,"(5, 2, 2, 2)",0.1791687241136925
2003-09-23,False,True,"(3, 1, 2, 2)",0.11659001818957228
2003-09-24,False,True,,
2003-09-25,False,True,,
2003-09-26,False,True,,
2003-09-29,False,True,,
2003-09-30,False,True,,
2003-10-01,False,True,,
2003-10-02,True,False,"(1, 1, 2, 2)",0.748677228994193
2003-10-03,True,False,"(1, 1, 2, 2)",0.7051476614663683
2003-10-06,True,False,"(3, 3, 2, 2)",0.5657370155284347
2003-10-07,True,False,"(3, 3, 2, 2)",0.3861183245829541
2003-10-08,True,False,"(3, 3, 2, 2)",0.5883275695789041
2003-10-09,True,False,"(4, 3, 2, 2)",0.3748020626806654
2003-10-10,True,False,"(4, 3, 2, 2)",0.2943988277973026
2003-10-13,True,False,"(5, 3, 2, 2)",0.20036145256391663
2003-10-14,True,False,"(5, 3, 2, 2)",0.20886717506490815
2003-10-15,True,False,"(4, 3, 2, 2)",0.23388979164973406
2003-10-16,False,True,"(5, 3, 2, 2)",0.18914182522574816
2003-10-17,False,True,"(5, 1, 2, 2)",0.35674059143460674
2003-10-20,False,True,"(5, 2, 2, 2)",0.24754072545912434
2003-10-21,False,True,"(1, 1, 2, 2)",0.24127015821758713
2003-10-22,False,True,,
2003-10-23,True,False,"(2, 1, 2, 2)",0.7166694148067704
2003-10-24,False,True,,
2003-10-27,False,True,,
2003-10-28,True,False,"(1, 1, 2, 2)",0.5242875082849952
2003-10-29,True,False,"(1, 1, 2, 2)",0.47676886562922544
2003-10-30,True,False,"(3, 3, 2, 2)",0.34037084040746796
2003-10-31,True,False,"(3, 3, 2, 2)",0.3376730043095661
2003-11-03,True,False,"(3, 3, 2, 2)",0.34221927495762344
2003-11-04,True,False,"(3, 3, 2, 2)",0.26511563782001774
2003-11-05,False,True,"(4, 3, 2, 2)",0.22927209676476085
2003-11-06,False,True,"(5, 3, 2, 2)",0.23781353444736292
2003-11-07,False,True,"(5, 3, 2, 2)",0.18843829658767644
2003-11-10,False,True,,
2003-11-11,False,True,,
2003-11-12,False,True,"(4, 1, 2, 2)",0.11231408295031264
2003-11-13,False,True,"(5, 2, 2, 2)",0.11496680132230397
2003-11-14,False,True,"(3, 2, 2, 2)",0.24607365261158473
2003-11-17,False,True,,
2003-11-18,False,True,,
2003-11-19,True,False,"(4, 1, 2, 2)",0.734623188683875
2003-11-20,False,True,,
2003-11-21,False,True,,
2003-11-24,True,False,"(1, 1, 2, 2)",0.6209837751613906
2003-11-25,True,False,"(1, 1, 2, 2)",0.5606005356836614
2003-11-26,True,False,"(2, 2, 2, 2)",0.39386670994204886
2003-11-28,True,False,"(3, 3, 2, 2)",0.31768421367630334
2003-12-01,True,False,"(1, 1, 2, 2)",0.1687468535200168
2003-12-02,True,False,"(3, 3, 2, 2)",0.30553036875636586
2003-12-03,False,True,"(4, 3, 2, 2)",0.2613735766455724
2003-12-04,False,True,"(5, 3, 2, 2)",0.35333483634257806
2003-12-05,False,True,,
2003-12-08,False,True,"(5, 1, 2, 2)",0.39466764358249196
2003-12-09,False,True,,
2003-12-10,False,True,,
2003-12-11,False,True,,
2003-12-12,True,False,"(1, 1, 2, 2)",0.5918263456972416
2003-12-15,True,False,"(3, 1, 2, 2)",0.6842993271218372
2003-12-16,False,True,"(2, 1, 2, 2)",0.700080441262987
2003-12-17,True,False,"(1, 1, 2, 2)",0.7863889506541185
2003-12-18,True,False,"(1, 1, 2, 2)",0.7768544088240626
2003-12-19,True,False,"(1, 1, 2, 2)",0.8233592912756272
2003-12-22,True,False,"(1, 1, 2, 2)",0.8355483438214724
2003-12-23,True,False,"(1, 1, 2, 2)",0.7638705172194798
2003-12-24,True,False,"(2, 1, 2, 2)",0.832777386783282
2003-12-26,True,False,"(2, 1, 2, 2)",0.8471864585832353
2003-12-29,True,False,"(1, 1, 2, 2)",0.6992573580871319
2003-12-30,True,False,"(1, 1, 2, 2)",0.7162610203297444
2003-12-31,True,False,"(3, 3, 2, 2)",0.715096945419777
2004-01-02,True,False,"(4, 1, 2, 2)",0.602181677104776
2004-01-05,True,False,"(4, 3, 2, 2)",0.4991798382054253
2004-01-06,True,False,"(1, 1, 2, 2)",0.5600941353018647
2004-01-07,True,False,"(1, 1, 2, 2)",0.6872412483750397
2004-01-08,True,False,"(1, 1, 2, 2)",0.6040001961672947
2004-01-09,True,False,"(2, 1, 2, 2)",0.4919440517517879
2004-01-12,True,False,"(2, 1, 2, 2)",0.49879877440771897
2004-01-13,True,False,"(2, 1, 2, 2)",0.5672151646910789
2004-01-14,True,False,"(5, 3, 2, 2)",0.46467804172044186
2004-01-15,True,False,"(5, 3, 2, 2)",0.42446748228592895
2004-01-16,True,False,"(4, 3, 2, 2)",0.34127638887637113
2004-01-20,True,False,"(3, 3, 2, 4)",0.25553306116349134
2004-01-21,True,False,"(1, 1, 2, 2)",0.18634649651768495
2004-01-22,True,False,"(3, 3, 2, 4)",0.23454198039965507
2004-01-23,False,True,"(5, 3, 2, 2)",0.16309390061958592
2004-01-26,False,True,"(5, 3, 2, 2)",0.16031452225905954
2004-01-27,False,True,"(5, 3, 2, 2)",0.16633860096308464
2004-01-28,False,True,,
2004-01-29,False,True,"(3, 1, 2, 2)",0.46995583149100484
2004-01-30,False,True,"(1, 1, 2, 2)",0.4936093565873199
2004-02-02,False,True,"(1, 1, 2, 2)",0.4807957089468934
2004-02-03,True,False,"(1, 1, 2, 2)",0.7037889161440375
2004-02-04,True,False,,
2004-02-05,False,True,"(2, 1, 2, 2)",0.6958465893412716
2004-02-06,True,False,"(1, 1, 2, 2)",0.5732680501516013
2004-02-09,True,False,"(1, 1, 2, 2)",0.48775176191103964
2004-02-10,True,False,"(1, 1, 2, 2)",0.2695482437480246
2004-02-11,True,False,"(3, 3, 2, 2)",0.18124353547579647
2004-02-12,True,False,"(3, 3, 2, 2)",0.19296608656264436
2004-02-13,False,True,"(4, 3, 2, 2)",0.2448149244086852
2004-02-17,False,True,"(5, 3, 2, 2)",0.14402871513627907
2004-02-18,False,True,"(5, 3, 2, 2)",0.1641732346566315
2004-02-19,False,True,"(5, 2, 2, 2)",0.18659041388770445
2004-02-20,False,True,,
2004-02-23,False,True,,
2004-02-24,False,True,,
2004-02-25,False,True,,
2004-02-26,False,True,"(1, 1, 2, 2)",0.2846862984737116
2004-02-27,False,True,"(2, 2, 2, 2)",0.13980259657764982
2004-03-01,False,True,"(1, 1, 2, 2)",0.11463305954902735
2004-03-02,False,True,"(3, 3, 2, 2)",0.10673941025172477
2004-03-03,False,True,"(4, 3, 2, 2)",0.10159191483809686
2004-03-04,False,True,"(4, 2, 2, 2)",0.0959971179507096
2004-03-05,False,True,"(5, 3, 2, 2)",0.10395497995622023
2004-03-08,False,True,,
2004-03-09,False,True,,
2004-03-10,False,True,,
2004-03-11,False,True,,
2004-03-12,False,True,"(5, 1, 2, 2)",0.2806895972043971
2004-03-15,False,True,,
2004-03-16,False,True,,
2004-03-17,False,True,"(1, 1, 2, 2)",0.20972152362287758
2004-03-18,False,True,"(2, 1, 2, 2)",0.14091911260097958
2004-03-19,False,True,"(3, 1, 2, 2)",0.3230719388323471
2004-03-22,False,True,,
2004-03-23,True,False,"(4, 1, 2, 2)",0.6843667991981722
2004-03-24,False,True,,
2004-03-25,False,True,,
2004-03-26,True,False,"(1, 1, 2, 2)",0.842954732103432
2004-03-29,True,False,"(1, 1, 2, 2)",0.6613181283888838
2004-03-30,True,False,"(3, 3, 2, 2)",0.4055131664258379
2004-03-31,True,False,"(3, 3, 2, 2)",0.3295132673352532
2004-04-01,True,False,"(3, 3, 2, 2)",0.3840939447403285
2004-04-02,True,False,"(1, 1, 2, 2)",0.2843346712747322
2004-04-05,True,False,"(1, 1, 2, 2)",0.20786691065674157
2004-04-06,True,False,"(3, 3, 2, 2)",0.2618638172407723
2004-04-07,False,True,"(4, 3, 2, 2)",0.22562258118374476
2004-04-08,False,True,"(5, 3, 2, 2)",0.20780563087934592
2004-04-12,False,True,"(5, 2, 2, 2)",0.19249122668566565
2004-04-13,False,True,,
2004-04-14,False,True,,
2004-04-15,False,True,,
2004-04-16,False,True,"(1, 1, 2, 2)",0.2029223442938109
2004-04-19,False,True,"(2, 1, 2, 2)",0.14444411120428544
2004-04-20,False,True,,
2004-04-21,False,True,"(3, 1, 2, 2)",0.22623689540675482
2004-04-22,False,True,"(1, 1, 2, 2)",0.12746237640295538
2004-04-23,False,True,"(2, 1, 2, 2)",0.11542017530101918
2004-04-26,False,True,"(3, 1, 2, 2)",0.11148940498760268
2004-04-27,False,True,"(3, 1, 2, 2)",0.115206454768844
2004-04-28,False,True,,
2004-04-29,False,True,,
2004-04-30,False,True,,
2004-05-03,False,True,,
2004-05-04,False,True,"(1, 1, 2, 2)",0.11061408301632485
2004-05-05,False,True,"(2, 2, 2, 2)",0.1192131392049373
2004-05-06,False,True,"(4, 1, 2, 2)",0.13348679911699712
2004-05-07,False,True,,
2004-05-10,False,True,,
2004-05-11,False,True,"(4, 1, 2, 2)",0.3655846529241543
2004-05-12,False,True,"(1, 1, 2, 2)",0.3666678807831206
2004-05-13,True,False,"(1, 1, 2, 2)",0.5294365563902139
2004-05-14,True,False,"(2, 1, 2, 2)",0.41887213323326994
2004-05-17,False,True,,
2004-05-18,True,False,"(3, 1, 2, 2)",0.6392828700885781
2004-05-19,True,False,"(4, 1, 2, 2)",0.68317605852997
2004-05-20,False,True,,
2004-05-21,True,False,"(1, 1, 2, 2)",0.7957577519018775
