,0,1,2,3,4,5,6,7,8,9,10,11
Start,2003-05-06 00:00:00,2007-02-06 00:00:00,2003-05-06 00:00:00,2010-03-05 00:00:00,2003-05-06 00:00:00,2013-01-11 00:00:00,2003-05-06 00:00:00,2016-02-29 00:00:00,2003-05-06 00:00:00,2019-01-08 00:00:00,2003-05-06 00:00:00,2021-10-20 00:00:00
End,2007-02-05 00:00:00,2010-03-04 00:00:00,2010-03-04 00:00:00,2013-01-10 00:00:00,2013-01-10 00:00:00,2016-02-26 00:00:00,2016-02-26 00:00:00,2019-01-07 00:00:00,2019-01-07 00:00:00,2021-10-19 00:00:00,2021-10-19 00:00:00,2024-10-10 00:00:00
Period,945 days 00:00:00,775 days 00:00:00,1720 days 00:00:00,719 days 00:00:00,2439 days 00:00:00,787 days 00:00:00,3226 days 00:00:00,720 days 00:00:00,3946 days 00:00:00,702 days 00:00:00,4648 days 00:00:00,748 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,173.26890382724145,199.20007941346586,458.2662698253407,189.99433061935332,1146.0767076798215,176.05173526046445,2459.1597757004306,158.02983465540598,4607.765159519111,215.3723034554754,11200.743991131374,203.06797320956775
Total Return [%],73.26890382724143,99.20007941346586,358.2662698253407,89.99433061935332,1046.0767076798215,76.05173526046445,2359.1597757004306,58.02983465540596,4507.765159519111,115.37230345547538,11100.743991131374,103.06797320956778
Benchmark Return [%],94.36769635685327,-12.965924836564414,69.51169557252767,39.18360528567126,139.9264664232733,39.92343458508263,235.83507832707446,34.324410952612475,347.6787317346175,74.21210660443771,688.3235610654997,18.72023919683099
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],29.251111391834993,28.82627379167356,29.251111391834993,22.358212895165618,29.251111391834993,18.16144301488415,29.251111391834993,14.724040320445086,29.251111391834993,10.746732410276698,29.251111391834993,8.158165354122975
Max Drawdown Duration,83 days 00:00:00,183 days 00:00:00,183 days 00:00:00,35 days 00:00:00,183 days 00:00:00,46 days 00:00:00,183 days 00:00:00,44 days 00:00:00,183 days 00:00:00,42 days 00:00:00,183 days 00:00:00,51 days 00:00:00
Total Trades,68,48,116,60,175,49,223,59,281,45,325,66
Total Closed Trades,67,47,115,59,174,48,222,58,280,44,324,65
Total Open Trades,1,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,-53.10350642023616,-44.9667845702665,-103.4475522887904,-40.35524252042731,-243.42938725941576,-29.05253485882838,-405.81721617946187,-12.354411663468909,-360.22455983340114,35.21327358898978,1831.3165445689774,10.64638894808104
Win Rate [%],80.59701492537313,72.3404255319149,77.39130434782608,77.96610169491525,78.16091954022988,79.16666666666666,78.37837837837837,68.96551724137932,76.42857142857142,75.0,76.23456790123457,70.76923076923077
Best Trade [%],7.888520164846809,14.821125468250832,14.821125468250838,8.317449367529367,14.821125468250838,8.120367904966983,14.821125468250838,5.5215500971841704,14.821125468250838,9.776102389145452,14.821125468250838,4.85353693755849
Worst Trade [%],-1.9721543021201289,-4.029442191779363,-4.029442191779353,-2.210846488134937,-4.029442191779353,-1.72488019837532,-4.029442191779353,-1.590217800315357,-4.029442191779353,-3.055849820074131,-4.029442191779353,-2.202035063538815
Avg Winning Trade [%],1.7339937092550353,3.3194609857168134,2.338464578519176,2.0474565567256393,2.2743582244436604,2.0709446970121865,2.233073620979005,1.4792166253068848,2.1005417115104117,2.2908769369172544,2.14530819976131,1.8876871529699386
Avg Losing Trade [%],-0.8640198076064822,-1.5315236489089212,-1.2111218050837493,-0.7042979599027042,-1.056163327364189,-0.5435553204790866,-0.9470977939843805,-0.2995380510649095,-0.7750897372713955,-1.3636183967764302,-0.8614072739988003,-1.0547494328845428
Avg Winning Trade Duration,5 days 14:13:20,6 days 00:42:21.176470588,5 days 19:24:56.629213483,5 days 06:15:39.130434782,5 days 16:56:28.235294117,6 days 23:22:06.315789473,6 days 00:08:16.551724137,6 days 03:36:00,6 days 01:14:01.121495327,6 days 04:21:49.090909090,6 days 02:31:34.736842105,5 days 04:10:26.086956521
Avg Losing Trade Duration,2 days 02:00:00,2 days 16:36:55.384615384,2 days 09:36:00,3 days 01:50:46.153846153,2 days 12:58:22.702702702,1 days 21:36:00,2 days 09:42:07.659574468,2 days 01:24:42.352941176,2 days 07:30:00,2 days 06:32:43.636363636,2 days 07:21:36,1 days 20:12:37.894736842
Profit Factor,8.374669213159962,6.204087682930753,6.709560379647265,9.61995664282519,8.588121160973957,12.921153962797044,10.433836720580235,12.440997636082052,11.303346931185514,4.772316487008081,6.875776974875937,4.754023222190478
Expectancy,1.864841930734037,3.067380084760263,3.986775221746208,2.2093147989793334,7.384558565551385,2.189672294151934,12.42676127629541,1.2072822057020176,17.332946895514272,1.821796133329218,28.479503127271613,1.4218705270997962
Sharpe Ratio,1.1950239422841618,1.0511466290459548,1.1611513485832132,1.0458194260347558,1.1475799099431188,0.8035912222436041,1.0838641066777626,0.7299999845306849,1.0358249140316413,0.9797866836808714,1.0042593291122603,1.3327085379189645
Calmar Ratio,0.8086150153875826,1.3301242809075187,1.3036201870762272,1.72271515891475,1.5059217250592247,1.651543162232414,1.4928441069775429,1.7732933965530624,1.4535631542052438,4.561232568610554,1.533338665816478,5.061494964819991
Omega Ratio,1.3855131317762543,1.3420455673622027,1.3793472387890902,1.2932693353985347,1.361985859469621,1.253609183619121,1.3494805292243488,1.1965236894921036,1.333431945215849,1.245911544154639,1.329564012712018,1.31487934417969
Sortino Ratio,2.015031185048705,1.7168418501187246,1.9412803608197793,1.6728111490324356,1.9012232141468652,1.2459538679566051,1.7845909574295158,1.1045993769815534,1.6965855804789163,1.4384289907196006,1.641381246613507,1.9905248053390108
