Date,entry_signal,exit_signal,max_combs,max_probs
2000-01-07,False,True,,
2000-01-10,False,True,,
2000-01-11,False,True,,
2000-01-12,False,True,,
2000-01-13,False,True,"(1, 1, 2, 2)",0.10217847549527145
2000-01-14,False,True,"(3, 1, 2, 2)",0.09888762533455703
2000-01-18,False,True,,
2000-01-19,False,True,,
2000-01-20,False,True,,
2000-01-21,False,True,,
2000-01-24,False,True,,
2000-01-25,False,True,,
2000-01-26,False,True,,
2000-01-27,False,True,,
2000-01-28,False,True,,
2000-01-31,False,True,,
2000-02-01,False,True,"(1, 1, 2, 2)",0.16793178551185645
2000-02-02,False,True,"(1, 1, 2, 2)",0.14720965932435695
2000-02-03,False,True,,
2000-02-04,False,True,,
2000-02-07,False,True,,
2000-02-08,False,True,,
2000-02-09,False,True,,
2000-02-10,False,True,,
2000-02-11,False,True,,
2000-02-14,False,True,,
2000-02-15,False,True,"(1, 1, 2, 2)",0.2117613343652902
2000-02-16,False,True,"(2, 1, 2, 2)",0.18256190392836932
2000-02-17,False,True,"(2, 1, 2, 2)",0.18584556181539827
2000-02-18,False,True,"(2, 1, 2, 2)",0.24068387130665678
2000-02-22,False,True,"(2, 1, 2, 2)",0.16888574155790276
2000-02-23,False,True,"(3, 1, 2, 2)",0.19324038559907333
2000-02-24,False,True,,
2000-02-25,False,True,,
2000-02-28,False,True,,
2000-02-29,False,True,"(2, 1, 2, 2)",0.3458011494003454
2000-03-01,False,True,,
2000-03-02,False,True,,
2000-03-03,False,True,,
2000-03-06,False,True,,
2000-03-07,False,True,"(2, 1, 2, 2)",0.36084893530862466
2000-03-08,False,True,,
2000-03-09,False,True,,
2000-03-10,True,False,"(5, 1, 2, 2)",0.8036983801581363
2000-03-13,True,False,"(1, 1, 2, 2)",0.8377241648073884
2000-03-14,True,False,"(1, 1, 2, 2)",0.8390975206953364
2000-03-15,True,False,"(1, 1, 2, 2)",0.804065587176547
2000-03-16,True,False,"(1, 1, 2, 2)",0.4419512992111998
2000-03-17,True,False,"(5, 1, 2, 4)",0.6946664964922483
2000-03-20,False,True,"(2, 1, 2, 2)",0.4170786409650744
2000-03-21,False,True,"(1, 1, 2, 2)",0.4692864898775553
2000-03-22,False,True,"(4, 1, 2, 2)",0.2715600616664096
2000-03-23,False,True,"(2, 1, 2, 2)",0.41262801603432164
2000-03-24,True,False,"(2, 1, 2, 2)",0.5081207904230611
2000-03-27,False,True,"(2, 1, 2, 2)",0.773095340402326
2000-03-28,True,False,"(1, 1, 2, 2)",0.8110377813740537
2000-03-29,True,False,"(2, 1, 2, 2)",0.662687780874518
2000-03-30,True,False,"(2, 1, 2, 2)",0.19160164104067065
2000-03-31,True,False,"(1, 1, 2, 2)",0.23261357183906484
2000-04-03,True,False,"(2, 1, 2, 2)",0.10811694699854783
2000-04-04,True,False,"(2, 1, 2, 2)",0.22355400923697763
2000-04-05,True,False,"(5, 1, 2, 2)",0.20524595568959852
2000-04-06,False,True,"(5, 1, 2, 2)",0.22361925450715492
2000-04-07,False,True,,
2000-04-10,False,True,,
2000-04-11,False,True,"(1, 1, 2, 2)",0.11762307731251226
2000-04-12,False,True,"(2, 1, 2, 2)",0.11800931943096499
2000-04-13,False,True,,
2000-04-14,False,True,,
2000-04-17,True,False,"(4, 1, 2, 2)",0.5892491792419935
2000-04-18,True,False,"(5, 1, 2, 2)",0.8112166825213502
2000-04-19,False,True,,
2000-04-20,False,True,"(1, 1, 2, 2)",0.11544332586436955
2000-04-24,False,True,"(1, 1, 2, 2)",0.12133731626460259
2000-04-25,False,True,"(2, 1, 2, 2)",0.12707277407000994
2000-04-26,False,True,"(5, 1, 2, 2)",0.34136449351789183
2000-04-27,False,True,"(3, 1, 2, 2)",0.20099386365146554
2000-04-28,False,True,"(1, 1, 2, 2)",0.2592066274289766
2000-05-01,False,True,"(5, 1, 2, 2)",0.2879439717884219
2000-05-02,False,True,"(2, 1, 2, 2)",0.4838773585088308
2000-05-03,False,True,,
2000-05-04,False,True,"(2, 1, 2, 2)",0.3407343797173238
2000-05-05,False,True,"(1, 1, 2, 2)",0.12484794317843685
2000-05-08,False,True,"(2, 1, 2, 2)",0.2546327322489276
2000-05-09,False,True,"(2, 1, 2, 2)",0.27750369916626694
2000-05-10,False,True,,
2000-05-11,False,True,"(4, 1, 2, 2)",0.1866761797997156
2000-05-12,False,True,"(1, 1, 2, 2)",0.11011136957271293
2000-05-15,False,True,"(2, 1, 2, 2)",0.10852332599675513
2000-05-16,False,True,"(2, 1, 2, 2)",0.12772494257050637
2000-05-17,False,True,"(2, 1, 2, 2)",0.12264200900397121
2000-05-18,False,True,"(3, 1, 2, 2)",0.14593658254766195
2000-05-19,False,True,,
2000-05-22,False,True,,
2000-05-23,False,True,,
2000-05-24,False,True,,
2000-05-25,False,True,,
2000-05-26,False,True,,
2000-05-30,False,True,,
2000-05-31,False,True,"(1, 1, 2, 2)",0.20242121416780023
2000-06-01,False,True,"(1, 1, 2, 2)",0.10985942107132696
2000-06-02,False,True,"(1, 1, 2, 2)",0.13229696613609823
2000-06-05,False,True,"(3, 1, 2, 2)",0.13353928807227256
2000-06-06,False,True,"(2, 1, 2, 2)",0.11492803396664072
2000-06-07,False,True,,
2000-06-08,False,True,,
2000-06-09,False,True,"(5, 1, 2, 2)",0.22734303552610488
2000-06-12,False,True,,
2000-06-13,False,True,,
2000-06-14,False,True,,
2000-06-15,False,True,"(2, 1, 2, 2)",0.10911355173497464
2000-06-16,False,True,"(3, 1, 2, 2)",0.14444183213172798
2000-06-19,False,True,"(4, 1, 2, 2)",0.34705510468855943
2000-06-20,False,True,,
2000-06-21,False,True,,
2000-06-22,False,True,,
2000-06-23,False,True,,
2000-06-26,True,False,"(2, 1, 2, 2)",0.5678822471040453
2000-06-27,True,False,,
2000-06-28,False,True,"(3, 1, 2, 2)",0.4124829307334703
2000-06-29,False,True,,
2000-06-30,False,True,,
2000-07-03,True,False,"(5, 1, 2, 2)",0.5988578767521693
2000-07-05,False,True,"(2, 1, 2, 2)",0.32488964241616847
2000-07-06,True,False,"(5, 1, 2, 2)",0.5186874367854938
2000-07-07,False,True,"(4, 1, 2, 2)",0.2924647282456405
2000-07-10,False,True,"(1, 1, 2, 2)",0.2682374700111996
2000-07-11,False,True,"(1, 1, 2, 2)",0.14563993789165447
2000-07-12,False,True,"(1, 1, 2, 2)",0.1391621728842199
2000-07-13,False,True,"(1, 1, 2, 2)",0.14114255461226405
2000-07-14,False,True,"(1, 1, 2, 2)",0.13669156795449022
2000-07-17,False,True,"(2, 1, 2, 2)",0.15174620978876713
2000-07-18,False,True,,
2000-07-19,False,True,,
2000-07-20,False,True,,
2000-07-21,False,True,"(5, 1, 2, 2)",0.220096144852821
2000-07-24,False,True,"(1, 1, 2, 2)",0.20352846159607588
2000-07-25,False,True,"(3, 1, 2, 2)",0.44594468677199234
2000-07-26,False,True,,
2000-07-27,False,True,"(3, 1, 2, 2)",0.4324530496839404
2000-07-28,False,True,"(4, 1, 2, 2)",0.43340017066964887
2000-07-31,False,True,,
2000-08-01,False,True,"(1, 1, 2, 2)",0.3624205032024878
2000-08-02,True,False,"(3, 1, 2, 2)",0.5174146432393085
2000-08-03,False,True,,
2000-08-04,True,False,"(3, 1, 2, 2)",0.6680255828976224
2000-08-07,True,False,"(1, 1, 2, 2)",0.4106916728542335
2000-08-08,True,False,"(1, 1, 2, 2)",0.41327934724740756
2000-08-09,True,False,"(5, 1, 2, 2)",0.4617647297530487
2000-08-10,False,True,"(5, 1, 2, 2)",0.487128104534169
2000-08-11,False,True,"(5, 1, 2, 2)",0.3907353040174367
2000-08-14,False,True,"(5, 1, 2, 2)",0.3867709394446536
2000-08-15,False,True,,
2000-08-16,False,True,,
2000-08-17,False,True,"(1, 1, 2, 2)",0.4937272422700386
2000-08-18,False,True,"(2, 1, 2, 2)",0.3149465259690731
2000-08-21,False,True,"(2, 1, 2, 2)",0.16761543573367413
2000-08-22,False,True,"(1, 1, 2, 2)",0.12470216411771505
2000-08-23,False,True,"(1, 1, 2, 2)",0.131910290403571
2000-08-24,False,True,"(4, 1, 2, 2)",0.21839476525867535
2000-08-25,False,True,"(5, 1, 2, 2)",0.15799867336912027
2000-08-28,False,True,"(3, 1, 2, 2)",0.12957318729253228
2000-08-29,False,True,,
2000-08-30,False,True,,
2000-08-31,False,True,,
2000-09-01,False,True,,
2000-09-05,False,True,,
2000-09-06,False,True,,
2000-09-07,False,True,"(2, 1, 2, 2)",0.3010908631732901
2000-09-08,False,True,"(3, 1, 2, 2)",0.36022658090948634
2000-09-11,False,True,"(3, 1, 2, 2)",0.3658765179999285
2000-09-12,False,True,"(4, 1, 2, 2)",0.3632884740070524
2000-09-13,False,True,"(5, 1, 2, 2)",0.47880129823623463
2000-09-14,True,False,"(1, 1, 2, 2)",0.6649419652691274
2000-09-15,True,False,"(2, 1, 2, 2)",0.5671439636248702
2000-09-18,True,False,"(5, 1, 2, 2)",0.7157252995541786
2000-09-19,True,False,,
2000-09-20,False,True,"(2, 1, 2, 2)",0.6854062212443954
2000-09-21,False,True,,
2000-09-22,True,False,"(4, 1, 2, 2)",0.8526853858128682
2000-09-25,True,False,"(5, 1, 2, 2)",0.8306802173783955
