,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-07 00:00:00,2005-09-08 00:00:00,2000-01-07 00:00:00,2008-09-04 00:00:00,2000-01-07 00:00:00,2011-10-31 00:00:00,2000-01-07 00:00:00,2014-12-24 00:00:00,2000-01-07 00:00:00,2018-05-21 00:00:00,2000-01-07 00:00:00,2021-09-27 00:00:00
End,2005-09-07 00:00:00,2008-09-03 00:00:00,2008-09-03 00:00:00,2011-10-28 00:00:00,2011-10-28 00:00:00,2014-12-23 00:00:00,2014-12-23 00:00:00,2018-05-18 00:00:00,2018-05-18 00:00:00,2021-09-24 00:00:00,2021-09-24 00:00:00,2024-10-08 00:00:00
Period,1424 days 00:00:00,752 days 00:00:00,2176 days 00:00:00,796 days 00:00:00,2972 days 00:00:00,792 days 00:00:00,3764 days 00:00:00,856 days 00:00:00,4620 days 00:00:00,844 days 00:00:00,5464 days 00:00:00,763 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,391.08486009493754,164.22667852850805,993.7947714662344,153.68931411275918,1527.356367954917,173.23578714912054,2427.791409361298,162.97673038562021,2822.094948130599,339.9372451985266,3381.1365670779583,291.60896179129725
Total Return [%],291.08486009493754,64.22667852850806,893.7947714662344,53.68931411275917,1427.356367954917,73.23578714912055,2327.791409361298,62.97673038562023,2722.094948130599,239.93724519852663,3281.136567077958,191.60896179129725
Benchmark Return [%],74.51826751349302,39.38341026132337,141.16354695913552,32.324395042416974,207.0955759173247,62.072569567811755,388.1401725932686,16.53954599886729,467.42021153187636,17.133476536218993,579.8230610137332,52.08147017609595
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],43.860280587110175,37.604131666053256,43.860280587110175,34.6164691427983,43.860280587110175,27.509738243836367,43.860280587110175,22.40670013336533,43.860280587110175,16.72849059667004,51.98197309322536,12.192403263630046
Max Drawdown Duration,59 days 00:00:00,87 days 00:00:00,87 days 00:00:00,137 days 00:00:00,137 days 00:00:00,121 days 00:00:00,387 days 00:00:00,114 days 00:00:00,548 days 00:00:00,61 days 00:00:00,548 days 00:00:00,66 days 00:00:00
Total Trades,74,39,113,7,120,39,120,48,120,53,120,58
Total Closed Trades,73,39,113,6,119,38,119,47,119,52,119,58
Total Open Trades,1,0,0,1,1,1,1,1,1,1,1,0
Open Trade PnL,-212.03999014164884,0.0,0.0,42.00822749564419,417.47556843735265,-39.43334871925606,1317.9106098437337,-25.944715462398648,1712.2141486130345,-11.077765096012797,2271.255767560394,0.0
Win Rate [%],73.97260273972603,64.1025641025641,70.79646017699115,50.0,69.74789915966386,73.68421052631578,69.74789915966386,63.829787234042556,69.74789915966386,73.07692307692307,69.74789915966386,70.6896551724138
Best Trade [%],15.7749154765461,6.488295605328701,15.7749154765461,5.739849543293289,15.7749154765461,8.756084044802176,15.7749154765461,7.135900519892943,15.7749154765461,21.950301358935665,15.7749154765461,10.928018053513986
Worst Trade [%],-5.3846181822556405,-2.8226372812216343,-5.3846181822556405,-2.9037709020351596,-5.3846181822556405,-1.6796482626426994,-5.3846181822556405,-4.707708259548834,-5.3846181822556405,-2.2481716478115743,-5.3846181822556405,-2.409636761162314
Avg Winning Trade [%],4.0272097171515275,2.4890236308139593,3.5003546536042873,5.525686275547125,3.5735594110239077,3.02123505252486,3.5735594110239077,2.6717556055579843,3.5735594110239077,3.846173434188592,3.5735594110239077,3.0587108667742555
Avg Losing Trade [%],-1.67293636708125,-0.8192690975902059,-1.2994569366789177,-1.6769580847058774,-1.3318141779383719,-0.7083944928220356,-1.3318141779383719,-0.8589482241692645,-1.3318141779383719,-1.055099687151337,-1.3318141779383719,-0.959885192034564
Avg Winning Trade Duration,5 days 10:13:20,6 days 08:38:24,5 days 18:00:00,5 days 00:00:00,5 days 17:20:57.831325301,7 days 21:25:42.857142857,5 days 17:20:57.831325301,6 days 18:24:00,5 days 17:20:57.831325301,6 days 11:22:06.315789473,5 days 17:20:57.831325301,5 days 19:19:01.463414634
