,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-11 00:00:00,2005-08-12 00:00:00,2000-01-11 00:00:00,2009-02-05 00:00:00,2000-01-11 00:00:00,2012-03-21 00:00:00,2000-01-11 00:00:00,2015-05-18 00:00:00,2000-01-11 00:00:00,2018-05-07 00:00:00,2000-01-11 00:00:00,2021-05-10 00:00:00
End,2005-08-11 00:00:00,2009-02-04 00:00:00,2009-02-04 00:00:00,2012-03-20 00:00:00,2012-03-20 00:00:00,2015-05-15 00:00:00,2015-05-15 00:00:00,2018-05-04 00:00:00,2018-05-04 00:00:00,2021-05-06 00:00:00,2021-05-06 00:00:00,2024-10-10 00:00:00
Period,1404 days 00:00:00,876 days 00:00:00,2280 days 00:00:00,787 days 00:00:00,3067 days 00:00:00,793 days 00:00:00,3860 days 00:00:00,748 days 00:00:00,4608 days 00:00:00,756 days 00:00:00,5364 days 00:00:00,862 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,1407.8214603127237,192.34488137562954,2707.872517819159,309.9238150622682,12537.25014749959,257.9557409497294,44960.839215449036,274.7384859559687,158429.65175152218,224.65274244861362,437697.250313491,278.8516743814232
Total Return [%],1307.8214603127237,92.34488137562954,2607.872517819159,209.9238150622682,12437.25014749959,157.95574094972937,44860.839215449036,174.73848595596874,158329.65175152218,124.65274244861362,437597.250313491,178.85167438142318
Benchmark Return [%],-32.99330538174494,-46.25372639089319,-65.01000697836442,111.13988524764147,-24.3706452575987,80.47335640358565,36.61277734875077,102.53901762860163,177.5898411002753,91.44339167792597,430.51368312734735,21.935649874149952
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],67.55208798031074,40.38143090511493,67.55208798031074,33.964543699142865,67.55208798031074,29.56248926149391,67.55208798031074,23.449719640180273,67.55208798031074,19.082458563230716,67.55208798031074,13.765458150346774
Max Drawdown Duration,205 days 00:00:00,70 days 00:00:00,205 days 00:00:00,36 days 00:00:00,205 days 00:00:00,52 days 00:00:00,205 days 00:00:00,36 days 00:00:00,205 days 00:00:00,58 days 00:00:00,205 days 00:00:00,68 days 00:00:00
Total Trades,100,67,167,60,227,66,293,74,367,92,458,98
Total Closed Trades,100,66,166,59,226,65,292,73,366,91,457,97
Total Open Trades,0,1,1,1,1,1,1,1,1,1,1,1
Open Trade PnL,0.0,-82.67793118222829,-1163.957658125994,-105.29041648441643,-4259.279943796269,-70.56723034582217,-12299.636696499721,-41.10341569792723,-23702.53957017261,-18.52403634815144,-36090.90049789898,0.7023895949973848
Win Rate [%],60.0,68.18181818181817,63.25301204819277,77.96610169491525,67.2566371681416,67.6923076923077,67.46575342465754,71.23287671232876,68.30601092896174,68.13186813186813,68.27133479212254,64.94845360824742
Best Trade [%],26.262625046329035,18.903597828026253,26.262625046329035,14.717625913566074,26.262625046329035,21.94537488995275,26.262625046329035,12.928557974266386,26.262625046329035,10.839133138798964,26.262625046329035,9.876611773484912
Worst Trade [%],-41.586929336190614,-6.655191205404922,-41.586929336190614,-3.334657144815007,-41.586929336190614,-2.957057306223964,-41.586929336190614,-1.6869685790491644,-41.586929336190614,-3.5732269405123294,-41.586929336190614,-3.846361869320134
