,0,1
Start,2016-10-10 00:00:00,2021-09-02 00:00:00
End,2021-09-01 00:00:00,2024-10-07 00:00:00
Period,1233 days 00:00:00,778 days 00:00:00
Start Value,100.0,100.0
End Value,805.1934903563796,671.7122250589707
Total Return [%],705.1934903563796,571.7122250589707
Benchmark Return [%],49.15657463178387,639.6029654491238
Max Gross Exposure [%],100.0,100.0
Total Fees Paid,0.0,0.0
Max Drawdown [%],26.973952643025616,34.85927133610953
Max Drawdown Duration,129 days 00:00:00,268 days 00:00:00
Total Trades,80,6
Total Closed Trades,80,5
Total Open Trades,0,1
Open Trade PnL,0.0,565.6874182561456
Win Rate [%],67.5,60.0
Best Trade [%],15.595998788336724,4.7371254457596095
Worst Trade [%],-2.7333323160807237,-2.254897515070644
Avg Winning Trade [%],4.5407935308554315,3.0246633534729366
Avg Losing Trade [%],-1.097950786574162,-1.5196577311400956
Avg Winning Trade Duration,6 days 09:20:00,3 days 16:00:00
Avg Losing Trade Duration,2 days 02:52:48,1 days 12:00:00
Profit Factor,9.616835005680516,2.8650797405811153
Expectancy,8.773999110287239,1.2049613605650076
Sharpe Ratio,1.108124832782743,1.9893745428302967
Calmar Ratio,3.1669709802953587,4.14193742885795
Omega Ratio,1.3304369808961043,1.3784147590456972
Sortino Ratio,1.7112373466068163,3.168347193991253
