Date,entry_signal,exit_signal,max_combs,max_probs
2001-06-21,False,True,,
2001-06-22,False,True,,
2001-06-25,False,True,,
2001-06-26,False,True,,
2001-06-27,False,True,,
2001-06-28,False,True,"(1, 1, 2, 2)",0.16206160839640482
2001-06-29,False,True,"(1, 1, 2, 2)",0.1217796846367021
2001-07-02,False,True,"(1, 1, 2, 2)",0.1217796846367021
2001-07-03,False,True,"(2, 1, 2, 2)",0.12291291346744347
2001-07-05,False,True,"(5, 1, 2, 2)",0.1712598484719003
2001-07-06,False,True,,
2001-07-09,True,False,"(4, 1, 2, 2)",0.5563629428030816
2001-07-10,False,True,,
2001-07-11,False,True,,
2001-07-12,False,True,"(1, 1, 2, 2)",0.1989006923478572
2001-07-13,False,True,"(1, 1, 2, 2)",0.17143653427829564
2001-07-16,False,True,"(3, 1, 2, 2)",0.31535412948411834
2001-07-17,False,True,"(2, 1, 2, 2)",0.17143653427829564
2001-07-18,False,True,"(2, 1, 2, 2)",0.29965311218284835
2001-07-19,False,True,"(2, 1, 2, 2)",0.18313425220890073
2001-07-20,False,True,"(1, 1, 2, 2)",0.18313425220890073
2001-07-23,False,True,,
2001-07-24,False,True,,
2001-07-25,False,True,,
2001-07-26,False,True,"(1, 1, 2, 2)",0.2620963579312009
2001-07-27,False,True,"(1, 1, 2, 2)",0.19983026704051854
2001-07-30,False,True,"(2, 1, 2, 2)",0.18724283618742626
2001-07-31,False,True,"(2, 1, 2, 2)",0.16206160839640482
2001-08-01,False,True,"(1, 1, 2, 2)",0.12558294004932
2001-08-02,False,True,"(1, 1, 2, 2)",0.12845853463207002
2001-08-03,False,True,"(3, 1, 2, 2)",0.12845853463207002
2001-08-06,False,True,,
2001-08-07,False,True,"(3, 1, 2, 2)",0.15937876816612437
2001-08-08,False,True,,
2001-08-09,False,True,"(5, 1, 2, 2)",0.4150249209377738
2001-08-10,False,True,"(1, 1, 2, 2)",0.2384944795585261
2001-08-13,False,True,"(1, 1, 2, 2)",0.18423478860387377
2001-08-14,False,True,"(3, 1, 2, 2)",0.18423478860387377
2001-08-15,False,True,,
2001-08-16,False,True,"(3, 1, 2, 2)",0.17928649882875294
2001-08-17,False,True,,
2001-08-20,False,True,,
2001-08-21,False,True,,
2001-08-22,False,True,,
2001-08-23,False,True,,
2001-08-24,False,True,,
2001-08-27,False,True,"(2, 1, 2, 2)",0.12319642667122646
2001-08-28,False,True,"(5, 1, 2, 2)",0.1217796846367021
2001-08-29,False,True,,
2001-08-30,False,True,,
2001-08-31,False,True,"(5, 1, 2, 2)",0.1217796846367021
2001-09-04,False,True,,
2001-09-05,False,True,,
2001-09-06,False,True,,
2001-09-07,False,True,,
2001-09-10,False,True,,
2001-09-17,False,True,,
2001-09-18,False,True,,
2001-09-19,False,True,,
2001-09-20,False,True,,
2001-09-21,False,True,,
2001-09-24,False,True,,
2001-09-25,True,False,"(1, 1, 2, 2)",0.7259343244326681
2001-09-26,True,False,"(2, 1, 2, 2)",0.7471479705590724
2001-09-27,True,False,"(2, 1, 2, 2)",0.7604242586445976
2001-09-28,True,False,"(1, 1, 2, 2)",0.5650718770534738
2001-10-01,True,False,"(2, 1, 2, 2)",0.7560146273138334
2001-10-02,True,False,"(2, 1, 2, 2)",0.697786505354781
2001-10-03,True,False,"(1, 1, 2, 2)",0.47010306064522367
2001-10-04,True,False,"(1, 1, 2, 2)",0.5561599510854667
2001-10-05,True,False,"(1, 1, 2, 2)",0.5492244999247378
2001-10-08,True,False,"(4, 1, 2, 2)",0.7025324130587418
2001-10-09,False,True,"(5, 1, 2, 2)",0.6464172894192725
2001-10-10,False,True,"(3, 1, 2, 2)",0.4001177186407261
2001-10-11,False,True,"(1, 1, 2, 2)",0.2896669759403977
2001-10-12,False,True,"(2, 1, 2, 2)",0.30081858028375075
2001-10-15,False,True,"(2, 1, 2, 2)",0.2771993270472515
2001-10-16,False,True,"(1, 1, 2, 2)",0.21000458285543677
2001-10-17,False,True,,
2001-10-18,False,True,,
2001-10-19,False,True,,
2001-10-22,False,True,"(1, 1, 2, 2)",0.26471058803277997
2001-10-23,True,False,"(2, 1, 2, 2)",0.5226195627179392
2001-10-24,False,True,"(3, 1, 2, 2)",0.4369890051908084
2001-10-25,False,True,"(3, 1, 2, 2)",0.20379364779173537
2001-10-26,False,True,"(1, 1, 2, 2)",0.2594995265432248
2001-10-29,False,True,,
2001-10-30,False,True,,
2001-10-31,True,False,"(3, 1, 2, 2)",0.7129045582441618
2001-11-01,True,False,"(1, 1, 2, 2)",0.6960986353935894
2001-11-02,True,False,"(1, 1, 2, 2)",0.7329478103897701
2001-11-05,True,False,"(1, 1, 2, 2)",0.7178250814996471
2001-11-06,True,False,"(1, 1, 2, 2)",0.39563801478247573
2001-11-07,True,False,"(2, 1, 2, 2)",0.6847895869144085
2001-11-08,False,True,"(2, 1, 2, 2)",0.7579571079812791
2001-11-09,True,False,"(1, 1, 2, 2)",0.761605302460814
2001-11-12,True,False,"(2, 1, 2, 2)",0.5635365775789337
2001-11-13,True,False,"(2, 1, 2, 2)",0.5172374195454145
2001-11-14,True,False,"(1, 1, 2, 2)",0.37700716526343653
2001-11-15,True,False,"(2, 1, 2, 2)",0.4978537444684739
2001-11-16,False,True,"(3, 1, 2, 2)",0.5427655412619901
2001-11-19,False,True,"(3, 1, 2, 2)",0.30542161922729966
2001-11-20,False,True,"(2, 1, 2, 2)",0.4051592871330937
2001-11-21,False,True,,
2001-11-23,False,True,"(3, 1, 2, 2)",0.27732037326958675
2001-11-26,False,True,"(1, 1, 2, 2)",0.2895886008182111
2001-11-27,False,True,"(2, 1, 2, 2)",0.23463501219543648
2001-11-28,False,True,,
2001-11-29,False,True,"(3, 1, 2, 2)",0.3149441780796321
2001-11-30,False,True,"(4, 1, 2, 2)",0.4079942022056761
2001-12-03,True,False,"(5, 1, 2, 2)",0.5763885192789376
2001-12-04,False,True,,
2001-12-05,False,True,"(1, 1, 2, 2)",0.20797047347750447
2001-12-06,False,True,"(2, 1, 2, 2)",0.19655315770762236
2001-12-07,False,True,"(3, 1, 2, 2)",0.1540802397755847
2001-12-10,False,True,"(4, 1, 2, 2)",0.2458021280906273
2001-12-11,False,True,,
2001-12-12,False,True,,
2001-12-13,False,True,,
2001-12-14,False,True,,
2001-12-17,True,False,"(1, 1, 2, 2)",0.6131762209269987
2001-12-18,True,False,"(1, 1, 2, 2)",0.40540625958552573
2001-12-19,True,False,"(1, 1, 2, 2)",0.2718829569385467
2001-12-20,True,False,"(3, 1, 2, 2)",0.4779624576486955
2001-12-21,False,True,"(2, 1, 2, 2)",0.3346416832757447
2001-12-24,False,True,"(1, 1, 2, 2)",0.4150249209377738
2001-12-26,False,True,"(1, 1, 2, 2)",0.297640611991976
2001-12-27,False,True,"(1, 1, 2, 2)",0.20592546719619634
