,0,1,2,3,4,5,6,7,8,9,10,11
Start,2001-06-21 00:00:00,2007-09-19 00:00:00,2001-06-21 00:00:00,2010-10-06 00:00:00,2001-06-21 00:00:00,2013-07-05 00:00:00,2001-06-21 00:00:00,2016-06-24 00:00:00,2001-06-21 00:00:00,2019-03-19 00:00:00,2001-06-21 00:00:00,2021-10-20 00:00:00
End,2007-09-18 00:00:00,2010-10-05 00:00:00,2010-10-05 00:00:00,2013-07-03 00:00:00,2013-07-03 00:00:00,2016-06-23 00:00:00,2016-06-23 00:00:00,2019-03-18 00:00:00,2019-03-18 00:00:00,2021-10-19 00:00:00,2021-10-19 00:00:00,2024-10-10 00:00:00
Period,1568 days 00:00:00,768 days 00:00:00,2336 days 00:00:00,690 days 00:00:00,3026 days 00:00:00,749 days 00:00:00,3775 days 00:00:00,686 days 00:00:00,4461 days 00:00:00,654 days 00:00:00,5115 days 00:00:00,748 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,209.2973818491228,205.16827497850454,602.8566533860308,174.92943982872617,1351.6289609928567,172.03758588204585,2897.093956689914,184.84047445690913,5423.039688551251,197.11174613105197,11601.296757336144,216.46761261448114
Total Return [%],109.29738184912279,105.16827497850454,502.85665338603076,74.92943982872619,1251.6289609928567,72.03758588204583,2797.093956689914,84.84047445690915,5323.039688551251,97.11174613105199,11501.296757336144,116.46761261448113
Benchmark Return [%],47.1598206351731,-16.306280119711538,24.05444636775882,48.75663188790418,84.35262755088814,35.657877151451366,152.7580783514035,46.80361795426109,257.5531596870841,67.88460766982499,500.1528196541032,26.89977868973599
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],35.88033792266026,32.85338306794346,35.88033792266026,24.416852476705465,35.88033792266026,18.755192714216758,35.88033792266026,13.674276971545488,35.88033792266026,11.366825501999136,35.88033792266026,7.981904862154551
