,0,1,2,3,4,5,6,7
Start,2005-07-13 00:00:00,2010-09-20 00:00:00,2005-07-13 00:00:00,2013-09-19 00:00:00,2005-07-13 00:00:00,2017-03-20 00:00:00,2005-07-13 00:00:00,2020-09-17 00:00:00
End,2010-09-17 00:00:00,2013-09-18 00:00:00,2013-09-18 00:00:00,2017-03-17 00:00:00,2017-03-17 00:00:00,2020-09-16 00:00:00,2020-09-16 00:00:00,2024-09-30 00:00:00
Period,1306 days 00:00:00,755 days 00:00:00,2061 days 00:00:00,880 days 00:00:00,2941 days 00:00:00,881 days 00:00:00,3822 days 00:00:00,1015 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,818.1879977649327,319.17873207174875,2636.713202174526,304.6292069341381,8022.2133344937365,450.06584724788866,35859.1472512413,1203.5151338616517
Total Return [%],718.1879977649327,219.17873207174873,2536.713202174526,204.6292069341381,7922.2133344937365,350.06584724788866,35759.1472512413,1103.5151338616517
Benchmark Return [%],164.08801802391793,85.47381985049651,405.9118857245595,-32.95551653852633,244.7519797881173,-12.477458137720788,198.7194087433449,-65.90909198385538
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],17.721867108721316,8.192235450830069,17.721867108721316,5.586180274556167,17.721867108721316,7.431232061520378,17.721867108721316,16.789406446265804
Max Drawdown Duration,184 days 00:00:00,82 days 00:00:00,184 days 00:00:00,98 days 00:00:00,184 days 00:00:00,157 days 00:00:00,184 days 00:00:00,167 days 00:00:00
Total Trades,85,49,134,48,182,53,236,40
Total Closed Trades,84,48,133,48,182,52,235,40
Total Open Trades,1,1,1,0,0,1,1,0
Open Trade PnL,55.533107539578054,8.888107996030215,73.42403907481412,0.0,0.0,31.52502139527786,2511.7666475349324,0.0
Win Rate [%],66.66666666666666,79.16666666666666,71.42857142857143,72.91666666666666,71.97802197802197,67.3076923076923,71.06382978723404,75.0
Best Trade [%],16.77418795519143,13.98237125564151,16.77418795519143,10.29411970950331,16.77418795519143,28.999533671297804,28.9995336712978,36.45267175659657
Worst Trade [%],-4.8941161260880435,-2.776451803430832,-4.8941161260880435,-3.340088642166892,-4.8941161260880435,-4.467807539081637,-4.8941161260880435,-8.616772125893672
Avg Winning Trade [%],4.467763595096582,3.3851467034607916,4.0749778560119045,3.7241547402841713,3.971029641794468,4.998450594876447,4.16584495241942,10.10109598903044
Avg Losing Trade [%],-1.4117732962947327,-1.2685877475457419,-1.3759769091074852,-1.1933870067452084,-1.3275346901134122,-1.313237683607047,-1.3422897141194303,-3.113697073475816
Avg Winning Trade Duration,5 days 14:34:17.142857142,5 days 17:41:03.157894736,5 days 16:55:34.736842105,4 days 14:24:00,5 days 10:15:34.351145038,5 days 02:44:34.285714285,5 days 08:20:07.185628742,6 days 06:24:00
Avg Losing Trade Duration,2 days 01:46:40,2 days 02:40:00,2 days 02:00:00,2 days 01:50:46.153846153,2 days 01:57:33.061224489,1 days 19:45:52.941176470,2 days 00:00:00,2 days 07:12:00
Profit Factor,7.279295479757154,11.508361808782285,10.094805074828734,8.910851740112856,9.3213570463825,6.0295440723379015,6.453997974564439,5.559631378855981
Expectancy,7.842218651935997,4.334731191675191,18.407835923568445,4.2631084777945425,43.31513632548369,6.125785112550209,140.69214635093738,27.587878346541302
Sharpe Ratio,2.5102630757216877,3.7021287839527957,2.7704968775149252,2.9739740176797933,2.7918036364259775,2.9962153954731297,2.836846235362803,3.003041047195513
Calmar Ratio,4.510714468053546,9.186217268045976,4.430248867110706,10.513198158767274,4.080865586969634,11.638599491233357,4.25312758948273,8.615268103090768
Omega Ratio,1.9739710948896472,2.3749129217172884,2.078822522542654,2.414638631983607,2.1419318395881604,2.3459588122110073,2.183614023360194,2.451173417450676
Sortino Ratio,4.8142376107705624,6.812708083557692,5.266972598143399,6.241079298011263,5.395589494962525,6.853875234574593,5.6911040051378565,6.022482604430707
