,0,1,2,3,4,5,6,7,8,9,10,11
Start,2000-01-10 00:00:00,2006-10-05 00:00:00,2000-01-10 00:00:00,2010-02-19 00:00:00,2000-01-10 00:00:00,2012-12-19 00:00:00,2000-01-10 00:00:00,2015-10-13 00:00:00,2000-01-10 00:00:00,2018-10-17 00:00:00,2000-01-10 00:00:00,2021-07-12 00:00:00
End,2006-10-04 00:00:00,2010-02-18 00:00:00,2010-02-18 00:00:00,2012-12-18 00:00:00,2012-12-18 00:00:00,2015-10-12 00:00:00,2015-10-12 00:00:00,2018-10-16 00:00:00,2018-10-16 00:00:00,2021-07-09 00:00:00,2021-07-09 00:00:00,2024-10-10 00:00:00
Period,1694 days 00:00:00,848 days 00:00:00,2542 days 00:00:00,714 days 00:00:00,3256 days 00:00:00,708 days 00:00:00,3964 days 00:00:00,759 days 00:00:00,4723 days 00:00:00,686 days 00:00:00,5409 days 00:00:00,819 days 00:00:00
Start Value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
End Value,324.36468692899484,256.7414652717788,1064.8501567340754,259.71293949859853,3395.163955630505,209.62635182295162,7080.930769308698,227.39056006448357,17688.8699836125,272.33069535236376,48172.2226263475,205.32064795771134
Total Return [%],224.36468692899484,156.7414652717788,964.8501567340753,159.7129394985985,3295.1639556305045,109.62635182295162,6980.930769308698,127.39056006448357,17588.8699836125,172.33069535236376,48072.2226263475,105.32064795771137
Benchmark Return [%],24.203447287878134,-11.756923919522333,9.90676035538607,66.24157171849771,83.13499289067133,70.2580791226669,209.60495698253854,48.38461222410877,356.93521005320736,72.02036105966872,679.5426733752348,10.349557079067218
Max Gross Exposure [%],100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Total Fees Paid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Drawdown [%],29.99682081320491,22.65372251924846,29.99682081320491,18.597771393956183,29.99682081320491,14.584192460962885,29.99682081320491,10.866446274587561,29.99682081320491,8.37206272548703,29.99682081320491,11.950737030043149
Max Drawdown Duration,206 days 00:00:00,167 days 00:00:00,206 days 00:00:00,26 days 00:00:00,206 days 00:00:00,52 days 00:00:00,206 days 00:00:00,36 days 00:00:00,206 days 00:00:00,46 days 00:00:00,206 days 00:00:00,103 days 00:00:00
Total Trades,98,57,154,56,210,57,268,65,333,71,404,76
