"
ma_window","
ma_window","
split_idx","Start
","End
","Period
","Start Value
","End Value
","Total Return [%]
","Benchmark Return [%]
","Max Gross Exposure [%]
","Total Fees Paid
","Max Drawdown [%]
","Max Drawdown Duration
","Total Trades
","Total Closed Trades
","Total Open Trades
","Open Trade PnL
","Win Rate [%]
","Best Trade [%]
","Worst Trade [%]
","Avg Winning Trade [%]
","Avg Losing Trade [%]
","Avg Winning Trade Duration
","Avg Losing Trade Duration
","Profit Factor
","Expectancy
","Sharpe Ratio
","Calmar Ratio
","Omega Ratio
","Sortino Ratio
"
10,50,0,0,251,252 days,100.0,69.991954,-30.008046,12.233055,100.0,0.0,30.634343,104 days,3,3,0,0.000000,0.000000,-9.853944,-11.958725,NaN,-11.207846,NaT,15 days 16:00:00,0.000000,-10.002682,-2.641549,-1.317350,0.384042,-2.831833
"","",1,0,251,252 days,100.0,71.550508,-28.449492,-4.137931,100.0,0.0,30.634343,138 days,4,3,1,1.558554,0.000000,-9.853944,-11.958725,NaN,-11.207846,NaT,15 days 16:00:00,0.000000,-10.002682,-2.430183,-1.254243,0.440418,-2.635033
"","",2,0,251,252 days,100.0,59.067776,-40.932224,-37.732028,100.0,0.0,41.460771,172 days,4,4,0,0.000000,0.000000,-9.853944,-15.607763,NaN,-12.307825,NaT,15 days 00:00:00,0.000000,-10.233056,-3.297120,-1.286837,0.341733,-3.469030
"","",3,0,251,252 days,100.0,70.465935,-29.534065,-31.156419,100.0,0.0,38.158887,177 days,4,3,1,3.374930,0.000000,-9.853944,-15.607763,NaN,-12.424192,NaT,18 days 00:00:00,0.000000,-10.969665,-2.009352,-1.042227,0.597289,-2.373534
"","",4,0,251,252 days,100.0,90.358737,-9.641263,-6.756252,100.0,0.0,34.410168,163 days,3,2,1,15.933957,0.000000,-11.810869,-15.607763,NaN,-13.709316,NaT,18 days 00:00:00,0.000000,-12.787610,-0.348927,-0.396892,0.918584,-0.488411
"","",5,0,251,252 days,100.0,129.080131,29.080131,29.639547,100.0,0.0,24.718308,90 days,2,1,1,44.687894,0.000000,-15.607763,-15.607763,NaN,-15.607763,NaT,13 days 00:00:00,0.000000,-15.607763,1.280962,1.809746,1.374198,2.168372
"","",6,0,251,252 days,100.0,134.986562,34.986562,38.860759,100.0,0.0,24.718308,90 days,2,1,1,50.594325,0.000000,-15.607763,-15.607763,NaN,-15.607763,NaT,13 days 00:00:00,0.000000,-15.607763,1.418202,2.201764,1.354986,2.382561
"","",7,0,251,252 days,100.0,143.863322,43.863322,51.770207,100.0,0.0,15.142245,38 days,2,1,1,4.981183,100.000000,38.882139,38.882139,38.882139,NaN,129 days,NaT,inf,38.882139,1.706868,4.579689,1.428584,3.003986
"","",8,0,251,252 days,100.0,145.889566,45.889566,49.448649,100.0,0.0,15.142245,73 days,2,1,1,7.007427,100.000000,38.882139,38.882139,38.882139,NaN,129 days,NaT,inf,38.882139,1.668850,4.808557,1.361673,2.762764
"","",9,0,251,252 days,100.0,126.291793,26.291793,169.717624,100.0,0.0,7.756384,16 days,1,0,1,26.291793,NaN,NaN,NaN,NaN,NaN,NaT,NaT,NaN,NaN,1.943531,5.186366,1.641762,2.824053
